"subj" "trial" "rating" "cond" "targ_ID" "dist_ID" "exp"
"1823" "4" 387 5 "semantic" "Orgel" "Geige" 6
"1824" "4" 388 3 "unrelated" "Saege" "Hahn" 6
"1825" "4" 389 2 "congruent" "Esel" "Esel" 6
"1827" "4" 391 2 "congruent" "Schere" "Schere" 6
"1828" "4" 392 5 "semantic" "Bohrer" "Hammer" 6
"1829" "4" 393 2 "unrelated" "Zug" "Esel" 6
"1830" "4" 394 4 "unrelated" "Geige" "Katze" 6
"1831" "4" 395 2 "congruent" "Kuh" "Kuh" 6
"1832" "4" 396 5 "semantic" "Hammer" "Bohrer" 6
"1833" "4" 397 5 "unrelated" "Gitarre" "Saege" 6
"1834" "4" 398 3 "semantic" "Loewe" "Katze" 6
"1835" "4" 399 1 "congruent" "Hahn" "Hahn" 6
"1836" "4" 400 1 "unrelated" "Dudelsack" "Pferd" 6
"1837" "4" 401 2 "unrelated" "Trommel" "Elefant" 6
"1839" "4" 403 1 "semantic" "Trompete" "Dudelsack" 6
"1840" "4" 404 2 "congruent" "Auto" "Auto" 6
"1841" "4" 405 3 "congruent" "Katze" "Katze" 6
"1844" "4" 408 3 "unrelated" "Hammer" "Dudelsack" 6
"1845" "4" 409 5 "unrelated" "Floete" "Besen" 6
"1846" "4" 410 3 "unrelated" "Loewe" "Glocke" 6
"1847" "4" 411 2 "congruent" "Hund" "Hund" 6
"1848" "4" 412 2 "congruent" "Besen" "Besen" 6
"1850" "4" 414 4 "unrelated" "Trompete" "Staubsauger" 6
"1851" "4" 415 2 "semantic" "Klingel" "Glocke" 6
"1852" "4" 416 1 "semantic" "Elefant" "Schwein" 6
"1853" "4" 417 2 "semantic" "Kuh" "Affe" 6
"1854" "4" 418 2 "congruent" "Schiff" "Schiff" 6
"1855" "4" 419 2 "semantic" "Hahn" "Ente" 6
"1856" "4" 420 4 "congruent" "Affe" "Affe" 6
"1858" "4" 422 5 "semantic" "Schere" "Saege" 6
"1860" "4" 424 1 "semantic" "Schwein" "Elefant" 6
"1862" "4" 426 2 "unrelated" "Fahrrad" "Loewe" 6
"1863" "4" 427 5 "unrelated" "Bohrer" "Trompete" 6
"1865" "4" 429 3 "semantic" "Auto" "Fahrrad" 6
"1867" "4" 431 3 "congruent" "Schaf" "Schaf" 6
"1868" "4" 432 2 "congruent" "Ente" "Ente" 6
"1869" "4" 433 3 "congruent" "Glocke" "Glocke" 6
"1870" "4" 434 4 "unrelated" "Staubsauger" "Kuh" 6
"1871" "4" 435 1 "semantic" "Esel" "Schaf" 6
"1872" "4" 436 5 "unrelated" "Orgel" "Hund" 6
"1873" "4" 437 5 "semantic" "Gitarre" "Trommel" 6
"1875" "4" 439 5 "semantic" "Geige" "Orgel" 6
"1876" "4" 440 5 "semantic" "Saege" "Schere" 6
"1877" "4" 441 4 "unrelated" "Katze" "Schiff" 6
"1878" "4" 442 3 "unrelated" "Ente" "Orgel" 6
"1879" "4" 443 5 "semantic" "Trommel" "Gitarre" 6
"1880" "4" 444 1 "semantic" "Zug" "Schiff" 6
"1882" "4" 446 2 "congruent" "Staubsauger" "Staubsauger" 6
"1883" "4" 447 3 "congruent" "Hammer" "Hammer" 6
"1886" "4" 450 1 "semantic" "Dudelsack" "Trompete" 6
"1887" "4" 451 5 "semantic" "Harfe" "Floete" 6
"1889" "4" 453 3 "unrelated" "Hund" "Zug" 6
"1890" "4" 454 2 "congruent" "Fahrrad" "Fahrrad" 6
"1891" "4" 455 5 "unrelated" "Besen" "Auto" 6
"1892" "4" 456 3 "unrelated" "Schiff" "Harfe" 6
"1893" "4" 457 4 "congruent" "Trompete" "Trompete" 6
"1894" "4" 458 2 "congruent" "Loewe" "Loewe" 6
"1895" "4" 459 3 "congruent" "Bohrer" "Bohrer" 6
"1896" "4" 460 5 "unrelated" "Affe" "Gitarre" 6
"1897" "4" 461 2 "unrelated" "Glocke" "Schwein" 6
"1899" "4" 463 4 "unrelated" "Schaf" "Geige" 6
"1900" "4" 464 4 "congruent" "Floete" "Floete" 6
"1901" "4" 465 5 "congruent" "Orgel" "Orgel" 6
"1904" "4" 468 3 "semantic" "Pferd" "Hund" 6
"1905" "4" 469 4 "unrelated" "Schere" "Affe" 6
"1906" "4" 470 4 "unrelated" "Elefant" "Bohrer" 6
"1907" "4" 471 1 "semantic" "Schiff" "Zug" 6
"1908" "4" 472 3 "congruent" "Saege" "Saege" 6
"1909" "4" 473 2 "congruent" "Geige" "Geige" 6
