"subj" "trial" "RT" "BPR_Resp" "ERR.code" "eat" "targ" "dist" "BPR_pic" "BPR_corrResp" "BPR_pos" "BPR_let" "BPR_ver" "BPR_rot" "task.soa" "cond" "targ_ID" "subset" "dist_ID" "sem.pair" "blk" "pl" "occ" "sem.kat" "phon.ons" "LatSq1" "LatSq2" "LatSq3" "LatSq4" "cross.coding1" "cross.coding2" "cross.coding3" "cross.coding4" "cross.coding5" "ver"
"82" 1 87 1726 "/" "-" "sonaPRP" "Silence_.wav" "blank___.bmp" "B_g_150_.bmp" "<" 277 "B" "gesp" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"83" 1 88 1186 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "Q_n_210_.bmp" ">" 672 "Q" "norm" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"84" 1 88 1190 "/" "-" "sonaPRP" "Silence_.wav" "blank___.bmp" "Q_n_210_.bmp" ">" 672 "Q" "norm" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"85" 1 89 1179 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "L_n_210_.bmp" ">" 672 "L" "norm" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"86" 1 89 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "L_n_210_.bmp" ">" 672 "L" "norm" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"87" 1 90 905 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "Z_g_150_.bmp" "<" 277 "Z" "gesp" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"88" 1 90 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "Z_g_150_.bmp" "<" 277 "Z" "gesp" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"89" 1 91 1039 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "B_n_210_.bmp" ">" 672 "B" "norm" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"90" 1 91 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "B_n_210_.bmp" ">" 672 "B" "norm" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"91" 1 92 800 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "K_g_210_.bmp" "<" 277 "K" "gesp" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"92" 1 92 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "K_g_210_.bmp" "<" 277 "K" "gesp" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"93" 1 93 1108 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "L_g_150_.bmp" "<" 277 "L" "gesp" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"94" 1 93 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "L_g_150_.bmp" "<" 277 "L" "gesp" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"95" 1 94 1175 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "F_n_150_.bmp" ">" 672 "F" "norm" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"96" 1 94 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "F_n_150_.bmp" ">" 672 "F" "norm" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"97" 1 95 1483 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "G_g_210_.bmp" "<" 672 "G" "gesp" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"98" 1 95 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "G_g_210_.bmp" "<" 672 "G" "gesp" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"99" 1 96 1189 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "K_n_150_.bmp" ">" 672 "K" "norm" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"100" 1 96 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "K_n_150_.bmp" ">" 672 "K" "norm" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"101" 1 97 1474 ">" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "P_n_210_.bmp" ">" 277 "P" "norm" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"102" 1 97 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "P_n_210_.bmp" ">" 277 "P" "norm" 210 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"103" 1 98 934 "<" "+" "sonaPRP" "Silence_.wav" "blank___.bmp" "Q_g_150_.bmp" "<" 277 "Q" "gesp" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"104" 1 98 3000 "-" "0" "sonaPRP" "Silence_.wav" "blank___.bmp" "Q_g_150_.bmp" "<" 277 "Q" "gesp" 150 0 0 99 9 99 0 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
"105" 1 101 1364 "/" "0" "sonaPRP" "g_Pfeife.wav" "Hubsch__.bmp" "blank___.bmp" "-" 0 "000" "000000" 0 0 6 93 9 96 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA NA
"106" 1 102 703 "/" "0" "sonaPRP" "g_Toilet.wav" "Toilet__.bmp" "blank___.bmp" "-" 0 "000" "000000" 0 0 1 95 9 95 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA NA
"107" 1 103 865 "/" "5" "sonaPRP" "g_Grille.wav" "Kanone__.bmp" "blank___.bmp" "-" 0 "000" "000000" 0 0 6 91 9 92 0 0 0 1 7 1 NA NA NA NA NA NA NA NA NA NA
"108" 1 104 1513 "/" "1" "sonaPRP" "g_Frosch.wav" "Hubsch__.bmp" "blank___.bmp" "-" 0 "000" "000000" 0 0 3 90 9 96 0 0 0 1 6 1 NA NA NA NA NA NA NA NA NA NA
"109" 1 105 958 "/" "0" "sonaPRP" "g_Telefo.wav" "Telefo__.bmp" "blank___.bmp" "-" 0 "000" "000000" 0 0 1 97 9 97 0 0 0 6 14 1 NA NA NA NA NA NA NA NA NA NA
"110" 1 106 1126 "/" "0" "sonaPRP" "g_Kanone.wav" "Frosch__.bmp" "blank___.bmp" "-" 0 "000" "000000" 0 0 5 92 9 90 0 0 0 7 9 1 NA NA NA NA NA NA NA NA NA NA
"111" 1 107 853 "/" "3" "sonaPRP" "g_Toilet.wav" "Grille__.bmp" "blank___.bmp" "-" 0 "000" "000000" 0 0 3 95 9 91 0 0 0 8 14 1 NA NA NA NA NA NA NA NA NA NA
"112" 1 108 873 "/" "0" "sonaPRP" "g_Pfeife.wav" "Pistol__.bmp" "blank___.bmp" "-" 0 "000" "000000" 0 0 3 93 9 94 0 0 0 6 6 1 NA NA NA NA NA NA NA NA NA NA
